arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.12778104,151993.78125000,309.02621460,0.30866897
0.00110000,0.12836147,151993.37500000,309.00552368,10.47464848
0.00220001,0.12836147,151993.03125000,308.98510742,20.59854126
0.00329999,0.12836147,151992.70312500,308.96466064,30.72230148
0.00440000,0.12836147,151992.35937500,308.94424438,40.84620285
0.00550000,0.12935427,151991.68750000,308.92752075,45.43520737
0.00660000,0.12935427,151990.50000000,308.91644287,45.47180176
0.00770000,0.12935427,151989.32812500,308.90536499,45.50841522
0.00880001,0.12935427,151988.14062500,308.89428711,45.54504776
0.00990000,0.12986845,151986.90625000,308.88610840,45.57884216
0.01100000,0.12964213,151986.67187500,308.88381958,45.59658051
0.01210000,0.12964213,151986.62500000,308.88159180,45.61480713
0.01319999,0.12964213,151986.57812500,308.87933350,45.63304520
0.01430001,0.12964213,151986.53125000,308.87707520,45.65127945
0.01540000,0.12981360,151985.50000000,308.87490845,45.67762756
0.01650001,0.12994175,151983.04687500,308.87289429,45.71631622
0.01760000,0.12994175,151980.35937500,308.87057495,45.76533508
0.01869999,0.12994175,151977.65625000,308.86825562,45.81436157
0.01980001,0.12994175,151974.96875000,308.86593628,45.86339569
0.02089999,0.13061885,151972.35937500,308.86364746,45.91112900
0.02200001,0.13113180,151969.62500000,308.86169434,45.95443344
0.02310000,0.13072406,151968.10937500,308.86071777,45.97700119
0.02420002,0.13072406,151968.29687500,308.86087036,45.97545242
0.02530001,0.13072406,151968.50000000,308.86099243,45.97390366
0.02639999,0.13056634,151967.28125000,308.86019897,45.99628067
0.02750001,0.13056634,151966.04687500,308.85940552,46.01872635
0.02860000,0.13090517,151965.73437500,308.85916138,46.03439331
0.02970001,0.13090517,151966.29687500,308.85943604,46.04358673
0.03080000,0.13076161,151965.50000000,308.85882568,46.07077026
0.03189999,0.13076161,151963.82812500,308.85781860,46.10132217
0.03300001,0.13076161,151962.15625000,308.85681152,46.13188171
0.03410000,0.13112190,151960.42187500,308.85598755,46.15792847
0.03520001,0.13112190,151958.65625000,308.85531616,46.18006134
0.03630000,0.13112190,151956.89062500,308.85467529,46.20220184
0.03739999,0.13112190,151955.12500000,308.85400391,46.22434235
0.03850001,0.13053846,151955.64062500,308.85473633,46.22558594
0.03960000,0.13144074,151954.07812500,308.85601807,46.23265457
0.04070001,0.13142942,151953.79687500,308.85772705,46.23133469
0.04180000,0.13142942,151953.98437500,308.85949707,46.22638321
0.04289999,0.13142942,151954.15625000,308.86126709,46.22144699
0.04400001,0.13103276,151954.32812500,308.86370850,46.21352386
0.04510000,0.13103276,151954.34375000,308.87030029,46.18719482
0.04620001,0.13103276,151954.35937500,308.87686157,46.16087723
0.04730000,0.13098021,151954.35937500,308.88821411,46.13513565
0.04840002,0.13102880,151955.84375000,308.89852905,46.10919571
0.04950001,0.13102880,151957.68750000,308.90789795,46.08314514
0.05060000,0.13063994,151954.56250000,308.92221069,39.08411026
0.05170001,0.13068501,151952.59375000,308.93762207,30.09339142
0.05280000,0.13068501,151953.57812500,308.95285034,20.84704781
0.05390002,0.13038315,151956.34375000,308.96875000,10.66765499
0.05500001,nan,nan,nan,nan
